ITEM,NOMBRE
CS3515014,SERV ASIST TECNICA 5% RT4%
CS3515011,SERV ASIST TECNICA SIN IVA RT4%
CS351501,SERV ASIST TECNICA 19% RT4%
CS3510012,SERV TEMPORALES SIN IVA RT0%
CS351001,SERV TEMPORALES 19% RT1%
CS350504,SERV ASEO Y VIGILANCIA 19% RT4%
CS350503,SERV ASEO Y VIGILANCIA SIN IVA RF2%
CS350502,SERV ASEO Y VIGILANCIA SIN IVA RT0%
CS350501,SERV ASEO Y VIGILANCIA 19% RT2%
CS309502,SEGURO DE TRANSPORTE DE VALORES 19% RT0%
CS309501,SEGURO TODO RIESGO 19% RT0%
CS308501,SEGURO TRANSPORTE DE MERCANCIA 19% RT0%
CS308001,SEGURO LUCRO CESANTE 19% RT0%
CS307501,SEGURO OBLIG ACCID DE TRANS SIN IVA RT0%
CS307001,SEGURO ROTURA DE MAQUINARIA 19% RT0%
CS306001,SEGURO RESPON CIVIL Y EXTRACONT 19% RT0%
CS304001,SEGURO FLOTA Y E DE TRANSPORTE 19% RT0%
CS302501,SEGURO INCENDIO 19% RT0%
CS302011,ANTICIPO A AGENTES ADUANAS COP
CS3020011,SEGURO DIFERIDOS SIN IVA RT0%
CS302001,SEGURO DIFERIDOS 19% RT0%
CS301511,ANTICIPO A TRABAJADORES SIN IVA RT0%
CS301001,SEGURO CUMPLIMIENTO 19% RT0%
CS300521,ANTICIPOS PROYECTOS PPYEQUIPOS EUR
CS300520,ANTICIPOS PROYECTOS PPYEQUIPOS USD
CS300519,ANTICIPO A ACREEDORES EUR
CS300518,ANTICIPO A ACREEDORES USD
CS300516,ANTICIPOS ACTIVOS FIJOS MAQUINARIA
CS300515,ANTICIPO A ACREEDORES SERV SIN IVA RT0%
CS300514,ANTICIPOS PROYECTOS PPYEQUIPOS COP
CS300512,ANTICIPO A PROV INVENT DEL EXTERIOR USD
CS300511,ANTICIPO A PROVEEDORES COP
CS300501,SEGURO MANEJO 19% RT0%
CS2510011,AFILIACIONES Y SOSTENIMIENTO 19% RT0%
CS251001,AFILIACIONES Y SOSTENIMIENT SIN IVA RT0%
CS250509,SOBRETASA ENERGIA ART 313 SIN IVA RT0%
CS250505,CONTRIBUCIONES GAS SIN IVA RT0%
CS250503,CONTRIBUCIONES ENERGIA SIN IVA RT0%
CS250502,CONTRIBUCIONES SIN IVA RT0%
CS204007,ARREND OTROS EQUIP OPERACI…N 19% RT4%
CS204006,ARREND BANDAS TRANSPORTADORAS 19% RT4%
CS204005,ARREND SUCCIONADORA 19% RT4%
CS204004,ARREND GRUAS 19% RT4%
CS204003,ARREND CARGADORES 19% RT4%
CS204002,ARREND CUCHARAS 19% RT4%
CS204001,ARREND FLOTA Y EQUIPO DE TRANSP 19% RT4%
CS202501,ARREND EQUIP DE COMPUT Y C 19% RT4%
CS202001,ARREND EQUIP DE OFICINA 19% RT4%
CS2015011,ARREND MAQ Y EQUIP SIN IVA RT4%
CS201501,ARREND MAQ Y EQUIP 19% RT4%
CS201002,ARREND CONST Y EDIFIC SIN IVA RT3.5%
CS201001,ARREND CONST Y EDIFIC 19% RT3.5%
CS159551,IMP AL ALUMBRADO SIN IVA RT0%
CS159546,IMPUESTO SALUDABLE-ICUI
CS159545,IMPUESTO SALUDABLE-IBUA
CS154001,IMP DE VEHICULOS SIN IVA RT0%
CS152007,IMP A LAS BOLSAS PLASTICAS SIN IVA RT0%
CS151501,A LA PROPIEDAD RAIZ
CS103501,HONOR ASESORIA TECNICA 19% RT11%
CS103001,HONOR ASESORIA FINANCIERA 19% RT11%
CS102501,HONOR ASESORIA JURIDICA 19% RT11%
CS101501,HONOR AUDITORIA EXTERNA 19% RT11%
CS101001,HONOR REVISORIA FISCAL 19% RT11%
CS0584013,SERV GAST MEDICO Y DROGAS 19% RT2%
CS0584012,SERV GAST MEDICO Y DROGAS SIN IVA RT2%
CS0584011,COMP GAST MEDICO Y DROGAS 19% RT2.5%
CS058401,COMP GAST MEDICO Y DROGAS SIN IVA RT2.5%
CS0566018,SERVICIO GASTOS DEPORT Y RECREACI SIN IV
CS0566017,SERVICIO GASTOS DEPORT Y RECREACI 5%
CS0566016,SERVICIO GASTOS DEPORT Y RECREACI 19%
CS0566014,HONORARIOS GASTOS DEPORT Y RECREACI SIN
CS0566013,HONORARIOS GASTOS DEPORT Y RECREACI 19%
CS0566012,COMPRAS GASTOS DEPORT Y RECREACI SIN IVA
CS0566011,COMPRAS GASTOS DEPORT Y RECREACI 5%
CS056601,COMPRAS GASTOS DEPORT Y RECREACI 19%
CS056301,HONOR CAPACIT AL PERSONAL  19% RT11%
CS0551011,COMP DOTACION SUMINISTRO SIN IVA RT2.5%
CS055101,COMP DOTACION Y SUMINISTROS 19% RT2.5%
CS052101,VIATICOS-TAXIS Y BUSES
CS0520021,INTERESES DE MORA SIN IVA RT7%
CS052002,INTERESES DE MORA 19% RT7%
CS052001,INTERESES CORRIENTES SIN IVA RT7%
CS051504,COMISI…N CONSIGNACI…N NACIONAL 19% RT0%
CS051501,REMESAS 19% RT0%
CAFIN16253,EN BN RECIB ARREND FIN19% RT2.5% ICO8%
CAFIN16200,CONCESIONES 19% RT2.5% ICO8%
CAF8850111,ACUED PLANTA REDES CTA PTE 19%2.5%
CAF885011,ACUED PLANTA REDES CTA PTE 19%2.5%PRODUC
CAF8830113,FLOTA Y EQ TRANS CTA PTE 19% ICO 8% RF1%
CAF8830112,FLOTA Y EQ TRANSP CTA PUENTE 19% RF 2.5%
CAF883011,FLOTA Y EQ TRANS CTA PTE 19% 2.5% PRODUC
CAF8815111,EQ DE COMP Y COMUNIC CTA PUENTE 19% 2.5%
CAF881511,EQ DE COMP Y COMUNIC CTA PUENTE SIN IVA
CAF8810111,EQ DE OFICINA CTA PUENTE 19% 2.5%
CAF881011,EQ DE OFICINA CTA PUENTE SIN IVA
CAF8805116,MAQ Y EQ CTA PUENTE 19% RF 2.5%
CAF8805115,MAQ Y EQ CTA PUENTE 19% RF 4%
CAF8805114,MAQ Y EQ CTA PUENTE 5% RF 2.5% PRODUCTI
CAF8805113,MAQ Y EQ CTA PUENTE 19% RF 4% PRODUCTIVO
CAF8805112,MAQ Y EQ CTA PUENTE 19% RF 2.5% PRODUCTI
CAF8805111,MAQ Y EQ CTA PUENTE 5% RF 2.5%
CAF880511,MAQ Y EQ CTA PUENTE SIN IVA RF 2.5%
CAF121513,HONOR E DE COMP Y COM EN CURSO 19% RT11%
CAF1215121,SERV E DE COMP/COM EN CURSO SIN IVA%RT4%
CAF121512,SERV E DE COMP Y COM EN CURSO 19% RT4%
CAF121013,HONOR E DE OFIC EN MONTAJE 19% RT11%
CAF121012,SERV E DE OFIC EN MONTAJE 19% RT4%
CAF120513,HONOR MAQ Y EQUIPO EN MONTAJE 19% RT11%
